Device,CMD1,CMD2,CMD3,CMD4
SERVER1,root,/userdata/system,Linux BATOCERA 5.2.16 #1 SMP Mon Nov 4 21:51:44 UTC 2019 x86_64 GNU/Linux,
SERVER2,root,/userdata/system,Linux BATOCERA 5.2.16 #1 SMP Mon Nov 4 21:51:44 UTC 2019 x86_64 GNU/Linux,"1: lo: <LOOPBACK,UP,LOWER_UP> mtu 65536 qdisc noqueue qlen 1000
    link/loopback 00:00:00:00:00:00 brd 00:00:00:00:00:00
    inet 127.0.0.1/8 scope host lo
       valid_lft forever preferred_lft forever
    inet6 ::1/128 scope host 
       valid_lft forever preferred_lft forever
2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP8000> mtu 1500 qdisc pfifo_fast qlen 1000
    link/ether 00:d8:61:c8:fd:44 brd ff:ff:ff:ff:ff:ff
    inet 192.168.0.15/24 brd 192.168.0.255 scope global eth0
       valid_lft forever preferred_lft forever
    inet6 fe80::2d8:61ff:fec8:fd44/64 scope link 
       valid_lft forever preferred_lft forever
3: wlan0: <NO-CARRIER,BROADCAST,MULTICAST,UP8000> mtu 1500 qdisc noqueue qlen 1000
    link/ether 08:71:90:90:d8:f0 brd ff:ff:ff:ff:ff:ff"
